"DVM - Cover  Revised: Thursday, April 18, 2019"					
01          Revision: A					
					
Nosherwan Ahmed					
					
					
					
					
					
"Bill Of Materials          April 18,2019      12:12:42"	Page1				
					
Item	Quantity	Reference	Part	Manufacturer	Manufacturer_Part_Number
______________________________________________					
					
1	9	C1	10uF	Taiyo Yuden	TMK107BBJ106MA-T
		C5	10uF	Taiyo Yuden	TMK107BBJ106MA-T
		C7	10uF	Taiyo Yuden	TMK107BBJ106MA-T
		C8	10uF	Taiyo Yuden	TMK107BBJ106MA-T
		C9	10uF	Taiyo Yuden	TMK107BBJ106MA-T
		C11	10uF	Taiyo Yuden	TMK107BBJ106MA-T
		C12	10uF	Taiyo Yuden	TMK107BBJ106MA-T
		C14	10uF	Taiyo Yuden	TMK107BBJ106MA-T
		C16	10uF	Taiyo Yuden	TMK107BBJ106MA-T
2	1	C2	0.47uF	Taiyo Yuden	TMK107B7474KA-TR
3	2	C3	1uF	Taiyo Yuden	TMK107B7105KA-T
		C4	1uF	Taiyo Yuden	TMK107B7105KA-T
4	3	C6	0.1uF	Yageo	CC0603JRX7R7BB104
		C10	0.1uF	Yageo	CC0603JRX7R7BB104
		C13	0.1uF	Yageo	CC0603JRX7R7BB104
5	1	C15	4.7uF	KEMET	C0805X475J9RAC7800
6	1	C17	0.22uF	Yageo	CC0603JRX7R6BB224
7	1	C18	510p	Yageo	CC0603JRNPO9BN511
8	1	DS1	LDF-A5616RI	Lumex	LDF-A5616RI
9	4	DS2	LDS-SMHTA304RISITR	Lumex Opto/Components Inc.	LDS-SMHTA304RISITR
		DS3	LDS-SMHTA304RISITR	Lumex Opto/Components Inc.	LDS-SMHTA304RISITR
		DS4	LDS-SMHTA304RISITR	Lumex Opto/Components Inc.	LDS-SMHTA304RISITR
		DS5	LDS-SMHTA304RISITR	Lumex Opto/Components Inc.	LDS-SMHTA304RISITR
10	1	D1	DIODE	ON Semiconductor	1N914BWS
11	6	D2	LED	Rohm Semiconductor	SML-D12U1WT86
		D3	LED	Rohm Semiconductor	SML-D12U1WT86
		D4	LED	Rohm Semiconductor	SML-D12U1WT86
